Time,Time,Time (Hour),Load_kW,kWh,Total Energy Consumption (kWh),,,Missing data rows,,"0,612257",,,,,,,,,"graphs are not properly seen online, for a better view download the exc file",,,,,,,,,
02/01/2018 06:30:00,2/1/2018,6:30:00 a. m.,"0,25","0,0625",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 06:45:00,2/1/2018,6:45:00 a. m.,"0,06","0,015",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 07:00:00,2/1/2018,7:00:00 a. m.,"0,22","0,055",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 07:15:00,2/1/2018,7:15:00 a. m.,"0,14","0,035",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 07:30:00,2/1/2018,7:30:00 a. m.,"0,14","0,035",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 07:45:00,2/1/2018,7:45:00 a. m.,"0,12","0,03",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 08:00:00,2/1/2018,8:00:00 a. m.,"0,1","0,025",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 08:15:00,2/1/2018,8:15:00 a. m.,"0,15","0,0375",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 08:30:00,2/1/2018,8:30:00 a. m.,"0,61","0,1525",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 08:45:00,2/1/2018,8:45:00 a. m.,"0,55","0,1375",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 09:00:00,2/1/2018,9:00:00 a. m.,"0,57","0,1425",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 09:15:00,2/1/2018,9:15:00 a. m.,"0,64","0,16",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 09:30:00,2/1/2018,9:30:00 a. m.,"0,48","0,12",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 09:45:00,2/1/2018,9:45:00 a. m.,"0,3","0,075",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 10:00:00,2/1/2018,10:00:00 a. m.,"0,09","0,0225",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 10:15:00,2/1/2018,10:15:00 a. m.,"0,11","0,0275",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 10:30:00,2/1/2018,10:30:00 a. m.,"0,03","0,0075",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 10:45:00,2/1/2018,10:45:00 a. m.,"0,04","0,01",,,,,,,,,,,,,,,,,,,,,,,,
